04,物联网工程导论,,4
05,物联网通信技术,,5
06,RFID原理及应用,,3
07,传感器原理及应用,,3
08,传感网原理及应用,,3
09,物联网软件设计,,1
10,物联网数据处理,,2
11,物联网中间件设计,,3
12,物联网应用系统设计,,3
13,嵌入式系统与设计,,2
14,传感器微操作系统原理与设计,,4
15,物联网控制原理与技术,,5
16,物联网定位技术,,4
17,物联网信息安全,,3
18,物联网工程规划与设计,,3
19,计算机网络,,4
20,物联网工程概论,,2
21,物联网算法基础,,1
22,物联网硬件基础,,4
23,传感网与微操作系统,,4
24,物联网安全与隐私,,4
25,无线单片机与协议开发,,3
26,JAVA语言程序设计,,2
27,物联网移动应用开发,,1
28,物流管理信息系统,,2
29,RFID系统,,4
30,物联网嵌入式系统开发,,3
31,多传感器数据融合技术,,4
32,云计算,,4
33,物联网与智慧思维,,3
34,移动人机交互技术,,2
35,社会计算,,5
36,物联网体系结构,,3
37,嵌入式系统原理,,4
38,RFID与智能卡技术,,4
39,物联网控制技术与应用,,3
40,传感器网络及应用,,5
41,网络规划与设计,,3
42,数据仓库与数据挖掘,,1
43,信息系统分析与集成,,5
44,软件集成与服务计算,,4
45,高级语言程序设计,,4
46,集合论与图论,,4
47,近世代数,,4
48,数理逻辑,,4
49,形式语言与自动机,,2
50,电子技术基础,,4
51,数字逻辑设计,,1
52,数据结构与算法,,2
53,计算机组成原理,,3
54,软件工程,,4
55,数据库系统,,3
56,操作系统,,5
57,编译原理,,4
58,计算机体系结构,,2
