01,JAVA,3
02,数据库,4
03,操作系统,3
04,物联网通信技术,5
05,RFID原理及应用,3
06,传感器原理及应用,3
07,传感网原理及应用,3
08,物联网软件设计,1
09,物联网数据处理,2
10,物联网中间件设计,3
11,物联网应用系统设计,3
12,嵌入式系统与设计,2
13,传感器微操作系统原理与设计,4
14,物联网控制原理与技术,5
15,物联网定位技术,4
16,物联网信息安全,3
17,物联网工程规划与设计,3
18,计算机网络,4
19,物联网工程概论,2
20,物联网算法基础,1
21,物联网硬件基础,4
22,传感网与微操作系统,4
23,物联网安全与隐私,4
24,无线单片机与协议开发,3
25,JAVA语言程序设计,2
26,物联网移动应用开发,1
27,物流管理信息系统,2
28,RFID系统,4
29,物联网嵌入式系统开发,3
30,多传感器数据融合技术,4
31,云计算,4
32,物联网与智慧思维,3
33,移动人机交互技术,2
34,社会计算,5
35,物联网体系结构,3
36,嵌入式系统原理,4
37,RFID与智能卡技术,4
38,物联网控制技术与应用,3
39,传感器网络及应用,5
40,网络规划与设计,3
41,数据仓库与数据挖掘,1
42,信息系统分析与集成,5
43,软件集成与服务计算,4
44,高级语言程序设计,4
45,集合论与图论,4
46,近世代数,4
47,数理逻辑,4
48,形式语言与自动机,2
49,电子技术基础,4
50,数字逻辑设计,1
51,数据结构与算法,2
52,计算机组成原理,3
53,软件工程,4
54,数据库系统,3
55,操作系统,5
56,编译原理,4
57,计算机体系结构,2
58,物联网工程导论,4
